Objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll001,img20221125_00041117.jpg,,,"Outside picnic, Mexico",,,,,,,,,,,image/jpeg,,,
coll002,img20221124_23575840.jpg,,,"Outside performance, Mexico",,,,,,,,,,,image/jpeg,,,
coll003,img20221124_23522814.jpg,,,"Outside performance 2, Mexico",,,,,,,,,,,image/jpeg,,,
coll004,img20221124_23540905.jpg,,,"Outside award, Mexico",,,,,,,,,,,image/jpeg,,,
coll005,img20221124_23521761.jpg,,,"Black History Month, Toronto school",,,,,,,,,,,image/jpeg,,,
coll006,img20221124_23464020.jpg,,,"King and Queen of Benin, Canada",,,,,,,,,,,image/jpeg,,,
coll007,img20221124_23404123.jpg,,,"Behind the scenes rehearsal, Canada",,,,,,,,,,,image/jpeg,,,
coll008,img20221124_23292824.jpg,,,"Behind the scenes group photo, Canada",,,,,,,,,,,image/jpeg,,,
coll009,img20221124_23255890.jpg,,,"Behind the scenes group photo 2, Canada",,,,,,,,,,,image/jpeg,,,
coll010,img20221124_23433790.jpg,,,"Behind the scenes group photo 3, Canada",,,,,,,,,,,image/jpeg,,,
coll011,img20221124_23391468.jpg,,,Portrait of a woman (Amah Harris) smiling,,,,,,,,,,,image/jpeg,,,
coll012,img20221124_23093109.jpg,,,A note left on the back of a photograph,,,,,,,,,,,image/jpeg,,,
coll013,img20221124_23073204.jpg,,,On stage performance,,,,,,,,,,,image/jpeg,,,
coll014,img20221124_23060946.jpg,,,Photograph with Friends,,,,,,,,,,,image/jpeg,,,
coll015,img20221124_23030341.jpg,,,Photograph with Friends,,,,,,,,,,,image/jpeg,,,
coll016,img20221124_22545690.jpg,,,Pamphlet for performance,,,,,,,,,,,image/jpeg,,,
coll017,img20221124_22493533.jpg,,,Music Hall of Fame Award,,,,,,,,,,,image/jpeg,,,
coll018,img20221124_22440426.jpg,,,Newspaper article,,,,,,,,,,,image/jpeg,,,
coll019,,BJlNFiSVF_s,,"Heritage Singer's performance, Canada",,,,,,,,,,,video/mp4,,,
coll020,,fXflPbYTmJQ,,"Miss Lou, Robert Owen, Lee-Ann Lyon-Bartley in Heritage Singers in production",,,,,,,,,,,video/mp4,,,
coll021,,4eowDllQtwk,,"""The Sooner The Better"" For Early Detection of Cervical Cancer",,,,,,,,,,,video/mp4,,,
coll022,,04dcbZePzk0,,Zuzuwah 3 1998 December 12,,,,,,,,,,,video/mp4,,,
coll023,HSC-11_34.jpg,,,Studio session list,,,,,,,,,,,image/jpeg,,,
coll024,HSC-11_37.jpg,,,Song mixing sheet 1,,,,,,,,,,,image/jpeg,,,
coll025,HSC-11_38.jpg,,,Song mixing sheet 2,,,,,,,,,,,image/jpeg,,,
coll026,HSC-11_33.jpg,,,RDR Music Group quote for cassette production,,,,,,,,,,,image/jpeg,,,
coll027,HSC-11_32.jpg,,,Invoice for Thunder Dome Sounds,,,,,,,,,,,image/jpeg,,,
